Question,Option 1,Option 2,Option 3,Option 4,Answer
What is the most abundant element in the Earth's atmosphere?,a) Oxygen,b) Nitrogen,c) Carbon dioxide,d) Hydrogen,b
What is the largest organ in the human body?,a) Skin,b) Heart,c) Liver,d) Brain,a
What is the name of the longest river in Africa?,a) Nile,b) Amazon,c) Congo,d) Yellow River,a
What type of animal is the largest primate in the world?,a) Gorilla,b) Chimpanzee,c) Orangutan,d) Baboon,a
What is the name of the smallest country in the world?,a) Monaco,b) Vatican City,c) Liechtenstein,d) San Marino,b
What is the name of the world's largest desert?,a) Sahara,b) Gobi,c) Arabian,d) Antarctic,a
Which planet in our solar system has the most moons?,a) Jupiter,b) Saturn,c) Uranus,d) Neptune,a
"What is the next number in the series? 1, 2, 4, 7, 11, ?",10,11,12,13,11
"What is the next number in the series? 1, 2, 4, 7, 11, 17, ?",16,17,18,19,17
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, ?",25,26,27,28,26
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, ?",39,40,41,42,40
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, ?",61,62,63,64,62
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, ?",95,96,97,98,96
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, ?",148,149,150,151,149
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, ?",230,231,232,233,231
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, ?",357,358,359,360,358
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, ?",554,555,556,557,555
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, ?",859,860,861,862,860
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, ?",1332,1333,1334,1335,1333
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, ?",2065,2066,2067,2068,2066
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, ?",3201,3202,3203,3204,3202
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, ?",4962,4963,4964,4965,4963
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, ?",7691,7692,7693,7694,7692
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, ?",11921,11922,11923,11924,11922
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, ?",18477,18478,18479,18480,18478
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, ?",28638,28639,28640,28641,28639
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, ?",44387,44388,44389,44390,44388
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, ?",68796,68797,68798,68799,68797
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, ?",106628,106629,106630,106631,106629
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, ?",165264,165265,165266,165267,165265
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, ?",256144,256145,256146,256147,256145
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, ?",397000,397001,397002,397003,397001
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, ?",615313,615314,615315,615316,615314
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, ?",953678,953679,953680,953681,953679
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, ?",1478112,1478113,1478114,1478115,1478113
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, ?",2290935,2290936,2290937,2290938,2290936
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, ?",3550735,3550736,3550737,3550738,3550736
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, ?",5503306,5503307,5503308,5503309,5503307
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, ?",8529608,8529609,8529610,8529611,8529609
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, ?",13220092,13220093,13220094,13220095,13220093
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, ?",20489901,20489902,20489903,20489904,20489902
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, ?",31757423,31757424,31757425,31757426,31757424
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, ?",49221023,49221024,49221025,49221026,49221024
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, ?",76287963,76287964,76287965,76287966,76287964
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, ?",118239178,118239179,118239180,118239181,118239179
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, ?",183259620,183259621,183259622,183259623,183259621
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, ?",284035199,284035200,284035201,284035202,284035200
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, ?",440227880,440227881,440227882,440227883,440227881
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, ?",682311865,682311866,682311867,682311868,682311866
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, ?",1057519304,1057519305,1057519306,1057519307,1057519305
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, ?",1639055591,1639055592,1639055593,1639055594,1639055592
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, ?",2540382215,2540382216,2540382217,2540382218,2540382216
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, ?",3937353822,3937353823,3937353824,3937353825,3937353823
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, ?",6102528599,6102528600,6102528601,6102528602,6102528600
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, ?",9458346135,9458346136,9458346137,9458346138,9458346136
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, ?",14659548111,14659548112,14659548113,14659548114,14659548112
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, ?",22720922640,22720922641,22720922642,22720922643,22720922641
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, ?",35215295975,35215295976,35215295977,35215295978,35215295976
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, ?",54580401080,54580401081,54580401082,54580401083,54580401081
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, ?",84594495080,84594495081,84594495082,84594495083,84594495081
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, ?",1.31E+11,1.31E+11,1.31E+11,1.31E+11,1.31E+11
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, ?",2.03E+11,2.03E+11,2.03E+11,2.03E+11,2.03E+11
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, ?",3.15E+11,3.15E+11,3.15E+11,3.15E+11,3.15E+11
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, 488161609286, ?",4.88E+11,4.88E+11,4.88E+11,4.88E+11,4.88E+11
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, 488161609286, 756604642641, ?",7.57E+11,7.57E+11,7.57E+11,7.57E+11,7.57E+11
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, 488161609286, 756604642641, 1172666130181, ?",1.17E+12,1.17E+12,1.17E+12,1.17E+12,1.17E+12
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, 488161609286, 756604642641, 1172666130181, 1817522356294, ?",1.82E+12,1.82E+12,1.82E+12,1.82E+12,1.82E+12
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, 488161609286, 756604642641, 1172666130181, 1817522356294, 2816988937096, ?",2.82E+12,2.82E+12,2.82E+12,2.82E+12,2.82E+12
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, 488161609286, 756604642641, 1172666130181, 1817522356294, 2816988937096, 4366068260035, ?",4.37E+12,4.37E+12,4.37E+12,4.37E+12,4.37E+12
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, 488161609286, 756604642641, 1172666130181, 1817522356294, 2816988937096, 4366068260035, 6766995709591, ?",6.77E+12,6.77E+12,6.77E+12,6.77E+12,6.77E+12
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, 488161609286, 756604642641, 1172666130181, 1817522356294, 2816988937096, 4366068260035, 6766995709591, 10488207743513, ?",1.05E+13,1.05E+13,1.05E+13,1.05E+13,1.05E+13
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, 488161609286, 756604642641, 1172666130181, 1817522356294, 2816988937096, 4366068260035, 6766995709591, 10488207743513, 16255736872302, ?",1.63E+13,1.63E+13,1.63E+13,1.63E+13,1.63E+13
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, 488161609286, 756604642641, 1172666130181, 1817522356294, 2816988937096, 4366068260035, 6766995709591, 10488207743513, 16255736872302, 25194865292876, ?",2.52E+13,2.52E+13,2.52E+13,2.52E+13,2.52E+13
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, 488161609286, 756604642641, 1172666130181, 1817522356294, 2816988937096, 4366068260035, 6766995709591, 10488207743513, 16255736872302, 25194865292876, 39049674715622, ?",3.90E+13,3.90E+13,3.90E+13,3.90E+13,3.90E+13
