Question,Option 1,Option 2,Option 3,Option 4,Answer
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, 488161609286, 756604642641, 1172666130181, 1817522356294, 2816988937096, 4366068260035, 6766995709591, 10488207743513, 16255736872302, 25194865292876, 39049674715622, 60523327974576, ?",6.05E+13,6.05E+13,6.05E+13,6.05E+13,6.05E+13
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, 488161609286, 756604642641, 1172666130181, 1817522356294, 2816988937096, 4366068260035, 6766995709591, 10488207743513, 16255736872302, 25194865292876, 39049674715622, 60523327974576, 93805473561409, ?",9.38E+13,9.38E+13,9.38E+13,9.38E+13,9.38E+13
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, 488161609286, 756604642641, 1172666130181, 1817522356294, 2816988937096, 4366068260035, 6766995709591, 10488207743513, 16255736872302, 25194865292876, 39049674715622, 60523327974576, 93805473561409, 145389673115411, ?",1.45E+14,1.45E+14,1.45E+14,1.45E+14,1.45E+14
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, 488161609286, 756604642641, 1172666130181, 1817522356294, 2816988937096, 4366068260035, 6766995709591, 10488207743513, 16255736872302, 25194865292876, 39049674715622, 60523327974576, 93805473561409, 145389673115411, 225340337254074, ?",2.25E+14,2.25E+14,2.25E+14,2.25E+14,2.25E+14
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, 488161609286, 756604642641, 1172666130181, 1817522356294, 2816988937096, 4366068260035, 6766995709591, 10488207743513, 16255736872302, 25194865292876, 39049674715622, 60523327974576, 93805473561409, 145389673115411, 225340337254074, 349256357110531, ?",3.49E+14,3.49E+14,3.49E+14,3.49E+14,3.49E+14
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, 488161609286, 756604642641, 1172666130181, 1817522356294, 2816988937096, 4366068260035, 6766995709591, 10488207743513, 16255736872302, 25194865292876, 39049674715622, 60523327974576, 93805473561409, 145389673115411, 225340337254074, 349256357110531, 541314548777772, ?",5.41E+14,5.41E+14,5.41E+14,5.41E+14,5.41E+14
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, 488161609286, 756604642641, 1172666130181, 1817522356294, 2816988937096, 4366068260035, 6766995709591, 10488207743513, 16255736872302, 25194865292876, 39049674715622, 60523327974576, 93805473561409, 145389673115411, 225340337254074, 349256357110531, 541314548777772, 838986706334301, ?",8.39E+14,8.39E+14,8.39E+14,8.39E+14,8.39E+14
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, 488161609286, 756604642641, 1172666130181, 1817522356294, 2816988937096, 4366068260035, 6766995709591, 10488207743513, 16255736872302, 25194865292876, 39049674715622, 60523327974576, 93805473561409, 145389673115411, 225340337254074, 349256357110531, 541314548777772, 838986706334301, 1300350590973410, ?",1.30E+15,1.30E+15,1.30E+15,1.30E+15,1.30E+15
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, 488161609286, 756604642641, 1172666130181, 1817522356294, 2816988937096, 4366068260035, 6766995709591, 10488207743513, 16255736872302, 25194865292876, 39049674715622, 60523327974576, 93805473561409, 145389673115411, 225340337254074, 349256357110531, 541314548777772, 838986706334301, 1300350590973410, 2015421277451254, ?",2.02E+15,2.02E+15,2.02E+15,2.02E+15,2.02E+15
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, 488161609286, 756604642641, 1172666130181, 1817522356294, 2816988937096, 4366068260035, 6766995709591, 10488207743513, 16255736872302, 25194865292876, 39049674715622, 60523327974576, 93805473561409, 145389673115411, 225340337254074, 349256357110531, 541314548777772, 838986706334301, 1300350590973410, 2015421277451254, 3123713676757423, ?",3.12E+15,3.12E+15,3.12E+15,3.12E+15,3.12E+15
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, 488161609286, 756604642641, 1172666130181, 1817522356294, 2816988937096, 4366068260035, 6766995709591, 10488207743513, 16255736872302, 25194865292876, 39049674715622, 60523327974576, 93805473561409, 145389673115411, 225340337254074, 349256357110531, 541314548777772, 838986706334301, 1300350590973410, 2015421277451254, 3123713676757423, 4841462796652148, ?",4.84E+15,4.84E+15,4.84E+15,4.84E+15,4.84E+15
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, 488161609286, 756604642641, 1172666130181, 1817522356294, 2816988937096, 4366068260035, 6766995709591, 10488207743513, 16255736872302, 25194865292876, 39049674715622, 60523327974576, 93805473561409, 145389673115411, 225340337254074, 349256357110531, 541314548777772, 838986706334301, 1300350590973410, 2015421277451254, 3123713676757423, 4841462796652148, 7503812588770462, ?",7.50E+15,7.50E+15,7.50E+15,7.50E+15,7.50E+15
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, 488161609286, 756604642641, 1172666130181, 1817522356294, 2816988937096, 4366068260035, 6766995709591, 10488207743513, 16255736872302, 25194865292876, 39049674715622, 60523327974576, 93805473561409, 145389673115411, 225340337254074, 349256357110531, 541314548777772, 838986706334301, 1300350590973410, 2015421277451254, 3123713676757423, 4841462796652148, 7503812588770462, 11630204698944766, ?",1.16E+16,1.16E+16,1.16E+16,1.16E+16,1.16E+16
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, 488161609286, 756604642641, 1172666130181, 1817522356294, 2816988937096, 4366068260035, 6766995709591, 10488207743513, 16255736872302, 25194865292876, 39049674715622, 60523327974576, 93805473561409, 145389673115411, 225340337254074, 349256357110531, 541314548777772, 838986706334301, 1300350590973410, 2015421277451254, 3123713676757423, 4841462796652148, 7503812588770462, 11630204698944766, 18025724888409059, ?",1.80E+16,1.80E+16,1.80E+16,1.80E+16,1.80E+16
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, 488161609286, 756604642641, 1172666130181, 1817522356294, 2816988937096, 4366068260035, 6766995709591, 10488207743513, 16255736872302, 25194865292876, 39049674715622, 60523327974576, 93805473561409, 145389673115411, 225340337254074, 349256357110531, 541314548777772, 838986706334301, 1300350590973410, 2015421277451254, 3123713676757423, 4841462796652148, 7503812588770462, 11630204698944766, 18025724888409059, 27938180467459100, ?",2.79E+16,2.79E+16,2.79E+16,2.79E+16,2.79E+16
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, 488161609286, 756604642641, 1172666130181, 1817522356294, 2816988937096, 4366068260035, 6766995709591, 10488207743513, 16255736872302, 25194865292876, 39049674715622, 60523327974576, 93805473561409, 145389673115411, 225340337254074, 349256357110531, 541314548777772, 838986706334301, 1300350590973410, 2015421277451254, 3123713676757423, 4841462796652148, 7503812588770462, 11630204698944766, 18025724888409059, 27938180467459100, 43301555563749845, ?",4.33E+16,4.33E+16,4.33E+16,4.33E+16,4.33E+16
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, 488161609286, 756604642641, 1172666130181, 1817522356294, 2816988937096, 4366068260035, 6766995709591, 10488207743513, 16255736872302, 25194865292876, 39049674715622, 60523327974576, 93805473561409, 145389673115411, 225340337254074, 349256357110531, 541314548777772, 838986706334301, 1300350590973410, 2015421277451254, 3123713676757423, 4841462796652148, 7503812588770462, 11630204698944766, 18025724888409059, 27938180467459100, 43301555563749845, 67113343921034641, ?",6.71E+16,6.71E+16,6.71E+16,6.71E+16,6.71E+16
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, 488161609286, 756604642641, 1172666130181, 1817522356294, 2816988937096, 4366068260035, 6766995709591, 10488207743513, 16255736872302, 25194865292876, 39049674715622, 60523327974576, 93805473561409, 145389673115411, 225340337254074, 349256357110531, 541314548777772, 838986706334301, 1300350590973410, 2015421277451254, 3123713676757423, 4841462796652148, 7503812588770462, 11630204698944766, 18025724888409059, 27938180467459100, 43301555563749845, 67113343921034641, 104019379295320193, ?",1.04E+17,1.04E+17,1.04E+17,1.04E+17,1.04E+17
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, 488161609286, 756604642641, 1172666130181, 1817522356294, 2816988937096, 4366068260035, 6766995709591, 10488207743513, 16255736872302, 25194865292876, 39049674715622, 60523327974576, 93805473561409, 145389673115411, 225340337254074, 349256357110531, 541314548777772, 838986706334301, 1300350590973410, 2015421277451254, 3123713676757423, 4841462796652148, 7503812588770462, 11630204698944766, 18025724888409059, 27938180467459100, 43301555563749845, 67113343921034641, 104019379295320193, 161220267637304793, ?",1.61E+17,1.61E+17,1.61E+17,1.61E+17,1.61E+17
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, 488161609286, 756604642641, 1172666130181, 1817522356294, 2816988937096, 4366068260035, 6766995709591, 10488207743513, 16255736872302, 25194865292876, 39049674715622, 60523327974576, 93805473561409, 145389673115411, 225340337254074, 349256357110531, 541314548777772, 838986706334301, 1300350590973410, 2015421277451254, 3123713676757423, 4841462796652148, 7503812588770462, 11630204698944766, 18025724888409059, 27938180467459100, 43301555563749845, 67113343921034641, 104019379295320193, 161220267637304793, 249876271836334241, ?",2.50E+17,2.50E+17,2.50E+17,2.50E+17,2.50E+17
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, 488161609286, 756604642641, 1172666130181, 1817522356294, 2816988937096, 4366068260035, 6766995709591, 10488207743513, 16255736872302, 25194865292876, 39049674715622, 60523327974576, 93805473561409, 145389673115411, 225340337254074, 349256357110531, 541314548777772, 838986706334301, 1300350590973410, 2015421277451254, 3123713676757423, 4841462796652148, 7503812588770462, 11630204698944766, 18025724888409059, 27938180467459100, 43301555563749845, 67113343921034641, 104019379295320193, 161220267637304793, 249876271836334241, 387284751116354238, ?",3.87E+17,3.87E+17,3.87E+17,3.87E+17,3.87E+17
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, 488161609286, 756604642641, 1172666130181, 1817522356294, 2816988937096, 4366068260035, 6766995709591, 10488207743513, 16255736872302, 25194865292876, 39049674715622, 60523327974576, 93805473561409, 145389673115411, 225340337254074, 349256357110531, 541314548777772, 838986706334301, 1300350590973410, 2015421277451254, 3123713676757423, 4841462796652148, 7503812588770462, 11630204698944766, 18025724888409059, 27938180467459100, 43301555563749845, 67113343921034641, 104019379295320193, 161220267637304793, 249876271836334241, 387284751116354238, 600254987578402927, ?",6.00E+17,6.00E+17,6.00E+17,6.00E+17,6.00E+17
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, 488161609286, 756604642641, 1172666130181, 1817522356294, 2816988937096, 4366068260035, 6766995709591, 10488207743513, 16255736872302, 25194865292876, 39049674715622, 60523327974576, 93805473561409, 145389673115411, 225340337254074, 349256357110531, 541314548777772, 838986706334301, 1300350590973410, 2015421277451254, 3123713676757423, 4841462796652148, 7503812588770462, 11630204698944766, 18025724888409059, 27938180467459100, 43301555563749845, 67113343921034641, 104019379295320193, 161220267637304793, 249876271836334241, 387284751116354238, 600254987578402927, 930338850352772565, ?",9.30E+17,9.30E+17,9.30E+17,9.30E+17,9.30E+17
"What is the next number in the series? 1, 2, 4, 7, 11, 17, 26, 40, 62, 96, 149, 231, 358, 555, 860, 1333, 2066, 3202, 4963, 7692, 11922, 18478, 28639, 44388, 68797, 106629, 165265, 256145, 397001, 615314, 953679, 1478113, 2290936, 3550736, 5503307, 8529609, 13220093, 20489902, 31757424, 49221024, 76287964, 118239179, 183259621, 284035200, 440227881, 682311866, 1057519305, 1639055592, 2540382216, 3937353823, 6102528600, 9458346136, 14659548112, 22720922641, 35215295976, 54580401081, 84594495081, 131113521633, 203213643379, 314962059907, 488161609286, 756604642641, 1172666130181, 1817522356294, 2816988937096, 4366068260035, 6766995709591, 10488207743513, 16255736872302, 25194865292876, 39049674715622, 60523327974576, 93805473561409, 145389673115411, 225340337254074, 349256357110531, 541314548777772, 838986706334301, 1300350590973410, 2015421277451254, 3123713676757423, 4841462796652148, 7503812588770462, 11630204698944766, 18025724888409059, 27938180467459100, 43301555563749845, 67113343921034641, 104019379295320193, 161220267637304793, 249876271836334241, 387284751116354238, 600254987578402927, 930338850352772565, 1441937833732146044, ?",1.44E+18,1.44E+18,1.44E+18,1.44E+18,1.44E+18
